no_factura,Nombre del cliente,Dirección,Total con iva,Tienda,Fecha
A17854,John Doe,123 Main Street,1500,Tienda A,12/1/2020
A17855,Jane Smith,456 Elm Avenue,2580,Tienda B,17/7/2020
A17856,David Johnson,789 Oak Lane,9504,Tienda A,8/3/2020
A17857,Sarah Brown,321 Pine Road,3872,Tienda C,11/11/2020
A17858,Michael Wilson,555 Maple Drive,2541,Tienda B,31/5/2020
A17859,Emily Davis,987 Cedar Court,985,Tienda C,24/11/2020
A17860,Mark Thompson,246 Walnut Street,1257,Tienda A,14/11/2020
A17861,Michelle Anderson,654 Birch Lane,5205,Tienda B,1/5/2020
A17862,Andrew Davis,321 Pine Road,10002,Tienda C,24/4/2020
A17863,Jennifer Lee,789 Oak Lane,7510,Tienda A,13/4/2020
A17864,Brian Wilson,555 Maple Drive,3145,Tienda B,23/5/2020
A17865,Laura Miller,987 Cedar Court,5478,Tienda C,6/1/2020
A17866,Robert Johnson,123 Main Street,3587,Tienda A,29/9/2020
A17867,Mary Davis,456 Elm Avenue,50,Tienda B,35/5/2020
A17868,Christopher Brown,789 Oak Lane,75,Tienda A,37/3/2020
A17869,Elizabeth Smith,321 Pine Road,200,Tienda C,17/10/2020
A17870,Daniel Wilson,555 Maple Drive,150,Tienda B,15/3/2020
A17871,Jessica Davis,987 Cedar Court,800,Tienda C,25/1/2020
A17872,Matthew Thompson,246 Walnut Street,985,Tienda A,28/9/2020
A17873,Amanda Anderson,654 Birch Lane,1368,Tienda B,10/4/2020
A17874,Steven Davis,321 Pine Road,1980,Tienda C,6/5/2020
A17875,Liam Johnson,247 Walnut Street,17000,Tienda B,9/9/2020
A17876,Olivia Smith,655 Birch Lane,1358,Tienda C,4/7/2020
A17877,Noah Davis,322 Pine Road,1836,Tienda A,21/4/2020
A17878,Emma Wilson,248 Walnut Street,846,Tienda B,23/4/2020
A17879,Ava Thompson,656 Birch Lane,7892,Tienda C,23/8/2020
A17880,William Anderson,323 Pine Road,784,Tienda B,23/11/2020
A17881,Sophia Brown,249 Walnut Street,1382,Tienda C,24/7/2020
A17882,James Miller,657 Birch Lane,901,Tienda A,9/8/2020
A17883,Isabella Taylor,324 Pine Road,1541,Tienda B,3/4/2020
A17884,Benjamin Lee,250 Walnut Street,1286,Tienda C,9/4/2020
A17885,Sofia Johnson,658 Birch Lane,384,Tienda B,27/5/2020
A17886,Ethan Davis,325 Pine Road,722,Tienda C,21/6/2020
A17887,Olivia Thompson,251 Walnut Street,1742,Tienda A,9/2/2020
A17888,Liam Anderson,659 Birch Lane,1580,Tienda B,25/7/2020
A17889,Ava Wilson,326 Pine Road,1670,Tienda C,3/8/2020
A17890,Noah Smith,252 Walnut Street,1194,Tienda B,19/7/2020
A17891,Isabella Brown,660 Birch Lane,672,Tienda C,21/4/2020
A17892,Jackson Miller,327 Pine Road,1972,Tienda A,18/12/2020
A17893,Mia Davis,253 Walnut Street,1659,Tienda B,12/2/2020
A17894,Aiden Johnson,661 Birch Lane,1920,Tienda C,13/11/2020
A17895,Jane Doe,124 Main Street,1411,Tienda A,9/6/2020
A17896,David Smith,457 Elm Avenue,215,Tienda B,25/4/2020
A17897,Sarah Johnson,790 Oak Lane,1817,Tienda A,20/7/2020
A17898,Michael Brown,322 Pine Road,1639,Tienda C,18/4/2020
A17899,Emily Wilson,556 Maple Drive,1534,Tienda B,29/11/2020
A17900,Mark Davis,988 Cedar Court,882,Tienda C,3/5/2020
A17901,Michelle Thompson,247 Walnut Street,732,Tienda A,20/4/2020
A17902,Andrew Anderson,655 Birch Lane,1137,Tienda B,21/7/2020
A17903,Jennifer Davis,322 Pine Road,131,Tienda C,15/5/2020
A17904,Brian Lee,790 Oak Lane,1785,Tienda A,26/2/2020
A17905,Laura Wilson,556 Maple Drive,1609,Tienda B,3/11/2020
A17906,Robert Miller,988 Cedar Court,5,Tienda C,28/7/2020
A17907,Mary Johnson,124 Main Street,1456,Tienda A,21/10/2020
A17908,Christopher Davis,457 Elm Avenue,739,Tienda B,24/9/2020
A17909,Elizabeth Brown,790 Oak Lane,1566,Tienda A,21/2/2020
A17910,Daniel Smith,322 Pine Road,1972,Tienda C,26/5/2020
A17911,Jessica Wilson,556 Maple Drive,1731,Tienda B,1/10/2020
A17912,Matthew Davis,988 Cedar Court,1125,Tienda C,30/3/2020
